DayCount,TS,TimeStep,1,2,Living,Kitchen,Laundry,Bathroom,ElecFood,ElecVaccuum,ElecIron,ElecDishes,ElecLaundry,ElecPC,ElecTV,ElecMusic,ElecBath,ElecStandby,ElecFridge,ElecLights,Bath,Dishes,Food,Laundry
1,1211,20:10,4,4,233.6688,233.6688,36,0,0,0,0,0,36,0,160,0,0,6,53,14.6688,0,62.6944,0,0
1,1221,20:20,4,4,212.6688,212.6688,36,0,0,0,0,0,36,0,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1231,20:30,4,4,212.6688,212.6688,36,0,0,0,0,0,36,0,160,0,0,6,32,14.6688,0,62.6944,0,0
1,1241,20:40,4,4,255.6688,255.6688,36,0,0,0,0,0,36,75,160,0,0,6,0,14.6688,0,0,0,0
1,1251,20:50,4,4,308.6688,308.6688,36,0,0,0,0,0,36,75,160,0,0,6,53,14.6688,0,0,0,0
1,1261,21:00,4,4,308.6688,308.6688,36,0,0,0,0,0,36,75,160,0,0,6,53,14.6688,0,0,0,0
1,1271,21:10,4,4,287.6688,287.6688,36,0,0,0,0,0,36,75,160,0,0,6,32,14.6688,0,0,0,0
1,1281,21:20,4,4,287.6688,287.6688,36,0,0,0,0,0,36,75,160,0,0,6,32,14.6688,0,0,0,0
1,1291,21:30,11,4,175.6,175.6,36,0,0,0,0,0,36,0,160,0,0,6,0,9.6,0,0,0,0
1,1301,21:40,11,4,228.6,228.6,36,0,0,0,0,0,36,0,160,0,0,6,53,9.6,0,0,0,0
1,1311,21:50,11,4,228.6,228.6,0,0,0,0,0,0,0,0,160,0,0,6,53,9.6,0,0,0,0
1,1321,22:00,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,1331,22:10,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,1341,22:20,11,11,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,1351,22:30,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,1361,22:40,11,11,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,1371,22:50,11,11,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
